latitude,longitude,altitude,distance
-12.928727,131.13181,70.2,78201.0
-12.93049,131.13087,69.4,78422.0
-12.93175,131.13032,71.1,78574.0
-12.93367,131.12972,69.5,78798.0
-12.93864,131.12714,77.5,79420.0
-12.939247,131.126743,76.8,79501.0
-12.939853,131.126347,77.2,79581.0
-12.94253,131.1246,75.0,79934.0
-12.94447,131.12354,76.4,80179.0
-12.9452,131.12323,76.0,80267.0
-12.9504,131.12185,84.0,80866.0
-12.95176,131.12157,82.6,81020.0
-12.96378,131.11913,98.0,82384.0
-12.96425,131.11899,97.9,82439.0
-12.96539,131.11848,99.2,82577.0
-12.96557,131.11838,99.0,82600.0
-12.96666,131.11771,99.9,82741.0
-12.96719,131.11739,98.6,82810.0
-12.96784,131.11705,99.0,82891.0
-12.97201,131.11631,85.1,83366.0
-12.974345,131.11646,88.8,83627.0
-12.975695,131.116545,88.3,83777.0
-12.97615,131.11657,88.4,83828.0
-12.983387,131.117083,79.3,84635.0
-12.98496,131.11719,79.7,84811.0
-12.99011,131.11756,74.7,85386.0
-12.99098,131.1176,76.2,85483.0
-12.992745,131.117715,73.0,85679.0
-12.99362,131.11777,73.5,85777.0
-12.9988,131.11845,67.5,86360.0
-13.003607,131.12084,89.0,86956.0
-13.00637,131.12247,73.5,87311.0
-13.00695,131.12272,75.0,87381.0
-13.01374,131.12261,53.5,88154.0
-13.01731,131.1217,59.5,88564.0
-13.01849,131.1217,57.1,88696.0
-13.0197,131.12186,58.0,88831.0
-13.0223,131.12232,55.6,89126.0
-13.03384,131.12007,72.1,90436.0
-13.03536,131.11974,70.2,90609.0
-13.03592,131.11959,71.0,90673.0
-13.043303,131.115997,63.0,91585.0
-13.044047,131.115593,63.3,91679.0
-13.045337,131.11489,61.9,91841.0
-13.04643,131.11429,62.7,91979.0
-13.05067,131.112,60.0,92513.0
-13.052365,131.111065,61.9,92727.0
-13.054263,131.110028,59.5,92966.0
-13.055737,131.109226,62.6,93152.0
-13.056473,131.108824,62.3,93245.0
-13.057947,131.108022,63.1,93430.0
-13.05942,131.10722,62.3,93616.0
-13.059965,131.10694,63.7,93684.0
-13.061,131.106485,61.9,93809.0
-13.064235,131.105875,68.5,94177.0
-13.065971,131.105671,63.8,94371.0
-13.068574,131.105364,66.0,94663.0
-13.070309,131.105159,65.0,94857.0
-13.072045,131.104955,66.2,95052.0
-13.07378,131.10475,64.0,95246.0
-13.07537,131.10465,65.0,95424.0
-13.07656,131.10475,64.3,95557.0
-13.080813,131.106393,75.7,96065.0
-13.083367,131.1076,71.3,96378.0
-13.084515,131.10814,73.4,96519.0
-13.08725,131.10914,70.5,96843.0
-13.088805,131.109465,71.0,97020.0
-13.090145,131.1096,70.2,97170.0
-13.09088,131.10964,71.2,97252.0
-13.095763,131.10912,69.5,97798.0
-13.10412,131.10823,80.2,98734.0
-13.105907,131.10835,78.4,98934.0
-13.11088,131.10841,81.4,99489.0
-13.11152,131.10832,81.0,99561.0
-13.11283,131.10803,81.9,99710.0
-13.122983,131.107029,71.3,100846.0
-13.12448,131.10691,71.8,101013.0
-13.12817,131.1067,69.0,101425.0
-13.1295,131.10681,70.7,101573.0
-13.13012,131.10691,70.6,101643.0
-13.131397,131.107107,72.3,101787.0
-13.136802,131.107216,64.8,102391.0
-13.137646,131.107168,65.2,102485.0
-13.13849,131.10712,64.1,102579.0
-13.139547,131.107063,64.4,102697.0
-13.141725,131.10694,63.3,102939.0
-13.143495,131.10684,64.2,103137.0
-13.14615,131.10669,61.1,103433.0
-13.147662,131.10661,62.0,103601.0
-13.149174,131.10653,61.0,103770.0
-13.14993,131.10649,62.3,103854.0
-13.15313,131.106322,60.6,104211.0
-13.154817,131.106227,61.3,104399.0
-13.15819,131.10594,59.9,104776.0
-13.1619,131.105,61.0,105202.0
-13.16549,131.10365,57.9,105627.0
-13.16845,131.10261,62.0,105976.0
-13.17396,131.10171,54.7,106597.0
-13.17791,131.101063,61.7,107043.0
-13.180035,131.100755,58.2,107282.0
-13.18086,131.10064,58.5,107374.0
-13.18207,131.10055,57.2,107509.0
-13.18356,131.10064,59.5,107676.0
-13.185153,131.1009,56.5,107855.0
-13.186773,131.101173,58.2,108038.0
-13.18924,131.1016,55.9,108316.0
-13.190695,131.101855,58.3,108481.0
-13.191423,131.101983,58.1,108563.0
-13.192997,131.102253,59.2,108741.0
-13.19469,131.10254,56.5,108932.0
-13.19599,131.10274,60.0,109078.0
-13.199095,131.102945,55.9,109425.0
-13.20413,131.10252,61.4,109988.0
-13.20478,131.1024,61.0,110061.0
-13.20703,131.10199,62.5,110316.0
-13.20863,131.101685,61.7,110497.0
-13.21006,131.10141,63.0,110659.0
-13.21819,131.09987,53.6,111579.0
-13.22159,131.09938,61.2,111962.0
-13.22464,131.09971,54.5,112304.0
-13.22637,131.100005,55.9,112499.0
-13.22696,131.10011,55.5,112566.0
-13.22754,131.100205,56.5,112631.0
-13.22926,131.10049,56.1,112825.0
-13.23184,131.10093,58.4,113116.0
-13.232595,131.10106,58.0,113201.0
-13.23501,131.1015,59.5,113475.0
-13.23603,131.10192,58.0,113597.0
-13.23672,131.1024,58.2,113690.0
-13.23758,131.10328,57.4,113826.0
